eps,weightedFMeasure
0.001,0.8911918791229438
0.002,0.8911918791229438
0.003,0.8911918791229438
0.004,0.8911918791229438
0.005,0.8911918791229438
0.006,0.8911918791229438
0.007,0.8906563974468236
0.008,0.8911918791229438
0.009000000000000001,0.8911918791229438
0.010000000000000002,0.8906563974468236
0.011000000000000003,0.8906563974468236
0.012000000000000004,0.8906563974468236
0.013000000000000005,0.8912356504136403
0.014000000000000005,0.8917713576533641
0.015000000000000006,0.8917337390083877
0.016000000000000007,0.8917337390083877
0.017000000000000008,0.891198031768664
0.01800000000000001,0.891198031768664
0.01900000000000001,0.891198031768664
0.02000000000000001,0.8917337390083877
0.02100000000000001,0.8917337390083877
0.022000000000000013,0.8917337390083877
0.023000000000000013,0.8911576532164378
0.024000000000000014,0.8917337390083877
0.025000000000000015,0.8911605232188701
0.026000000000000016,0.8911605232188701
0.027000000000000017,0.8911605232188701
0.028000000000000018,0.8906062287633477
0.02900000000000002,0.8906062287633477
0.03000000000000002,0.8911794445528654
0.5,0.8911918791229438
1.0,0.8678507294357221
1.5,0.8361230599507673
2.0,0.8523153838206766
2.5,0.01787378458941744
3.0,0.01787378458941744
3.5,0.01787378458941744
4.0,0.01787378458941744
4.5,0.01787378458941744
5.0,0.01787378458941744
5.5,0.01787378458941744
6.0,0.01787378458941744
6.5,0.01787378458941744
7.0,0.01787378458941744
7.5,0.01787378458941744
8.0,0.01787378458941744
8.5,0.01787378458941744
9.0,0.01787378458941744
9.5,0.01787378458941744
10.0,0.01787378458941744
10.5,0.01787378458941744
11.0,0.01787378458941744
11.5,0.01787378458941744
12.0,0.01787378458941744
12.5,0.01787378458941744
13.0,0.01787378458941744
13.5,0.01787378458941744
14.0,0.01787378458941744
14.5,0.01787378458941744
15.0,0.01787378458941744
15.5,0.01787378458941744
16.0,0.01787378458941744
16.5,0.01787378458941744
17.0,0.01787378458941744
17.5,0.01787378458941744
18.0,0.01787378458941744
18.5,0.01787378458941744
19.0,0.01787378458941744
19.5,0.01787378458941744
20.0,0.01787378458941744
20.5,0.01787378458941744
21.0,0.01787378458941744
21.5,0.01787378458941744
22.0,0.01787378458941744
22.5,0.01787378458941744
23.0,0.01787378458941744
23.5,0.01787378458941744
24.0,0.01787378458941744
24.5,0.01787378458941744
25.0,0.01787378458941744
