gamma,weightedFMeasure
0.0,0.8911918791229438
0.1,0.8596122988689034
0.2,0.7660778230711478
0.30000000000000004,0.6521057070705778
0.4,0.5254642785182116
0.5,0.4373592471377329
0.6,0.30956201474575334
0.7,0.2227632874929696
0.7999999999999999,0.15982063260172144
0.8999999999999999,0.12126968539277186
0.9999999999999999,0.10011069859968788
1.0999999999999999,0.08953502544052504
1.2,0.07741569045642853
1.3,0.06374251187967403
1.4000000000000001,0.05856419890600397
1.5000000000000002,0.05355264970612258
1.6000000000000003,0.04830084062202095
1.7000000000000004,0.043215815063748136
1.8000000000000005,0.037955762510253184
1.9000000000000006,0.03462961139179233
2.0000000000000004,0.0335602990547851
2.1000000000000005,0.03143273049646483
2.2000000000000006,0.030258108740907244
2.3000000000000007,0.029211445987214354
2.400000000000001,0.028153578424003508
2.500000000000001,0.026003493446846822
2.600000000000001,0.026003493446846822
2.700000000000001,0.026003493446846822
2.800000000000001,0.022701630556814716
2.9000000000000012,0.022701630556814716
3.0000000000000013,0.022701630556814716
3.1000000000000014,0.022701630556814716
3.2000000000000015,0.022701630556814716
3.3000000000000016,0.022701630556814716
3.4000000000000017,0.022701630556814716
3.5000000000000018,0.02159709350742325
3.600000000000002,0.02159709350742325
3.700000000000002,0.02159709350742325
3.800000000000002,0.02159709350742325
3.900000000000002,0.02159709350742325
4.000000000000002,0.02159709350742325
4.100000000000001,0.02159709350742325
4.200000000000001,0.02159709350742325
4.300000000000001,0.02159709350742325
4.4,0.02159709350742325
4.5,0.02159709350742325
4.6,0.02159709350742325
4.699999999999999,0.02159709350742325
4.799999999999999,0.02159709350742325
4.899999999999999,0.02159709350742325
