cost,gamma,weightedFMeasure
0.125,3.0517578125E-5,0.3178584049589261
0.125,3.270793037525308E-5,0.3177190043409338
0.125,3.505549179068098E-5,0.31765995262031604
0.125,3.757154581741075E-5,0.3179685006561508
0.125,4.026818575356729E-5,0.3179685006561508
0.125,4.315837287515544E-5,0.31820430680818845
0.125,4.625599873383776E-5,0.31783069671449277
0.125,4.957595192603968E-5,0.3177387903941014
0.125,5.313418965430435E-5,0.3177387903941014
0.125,5.694781442485384E-5,0.31765270674114804
0.125,6.103515624999985E-5,0.3175468648082079
0.125,6.5415860750506E-5,0.3187856579232302
0.125,7.011098358136179E-5,0.3187856579232302
0.125,7.514309163482131E-5,0.318924124956574
0.125,8.053637150713438E-5,0.32049586991626405
0.125,8.631674575031066E-5,0.3364735505661341
0.125,9.25119974676753E-5,0.3575549279055863
0.125,9.915190385207912E-5,0.36808758910814565
0.125,1.0626837930860843E-4,0.3849087594734893
0.125,1.1389562884970741E-4,0.4271202376284569
0.125,1.220703124999994E-4,0.477355110143178
0.125,1.3083172150101167E-4,0.5370800657718414
0.125,1.4022196716272325E-4,0.5923841568052071
0.125,1.5028618326964224E-4,0.6435145765513441
0.125,1.6107274301426836E-4,0.6885937501103643
0.125,1.7263349150062088E-4,0.7153647806109033
0.125,1.8502399493535015E-4,0.7476005097114107
0.125,1.9830380770415775E-4,0.7662485848188166
0.125,2.1253675861721634E-4,0.776409100188046
0.125,2.2779125769941425E-4,0.7842039378127702
0.125,2.4414062499999818E-4,0.7941033970306571
0.125,2.616634430020227E-4,0.7966109353879667
0.125,2.804439343254458E-4,0.8011504442537192
0.125,3.0057236653928377E-4,0.8045209786616889
0.125,3.2214548602853597E-4,0.8102840103088856
0.125,3.4526698300124095E-4,0.8129805111386119
0.125,3.700479898706994E-4,0.8157466128679469
0.125,3.966076154083145E-4,0.817701039129696
0.125,4.2507351723443165E-4,0.8185916758082987
0.125,4.5558251539882735E-4,0.8221289032499419
0.125,4.882812499999952E-4,0.8234180417343018
0.125,5.233268860040441E-4,0.826644460514939
0.125,5.608878686508902E-4,0.8303731268256064
0.125,6.01144733078566E-4,0.8316661018200617
0.125,6.442909720570703E-4,0.8335783212197314
0.125,6.905339660024802E-4,0.8349534189593977
0.125,7.400959797413969E-4,0.8387874477647985
0.125,7.932152308166271E-4,0.8381681977564108
0.125,8.501470344688611E-4,0.8437045967734873
0.125,9.111650307976525E-4,0.8456777766015161
0.125,9.76562499999988E-4,0.8466874173865101
0.125,0.0010466537720080858,0.8455073359482216
0.125,0.0011217757373017776,0.8466903796841619
0.125,0.0012022894661571292,0.8472316095789327
0.125,0.0012885819441141374,0.849430711500897
0.125,0.0013810679320049569,0.8521323213409503
0.125,0.0014801919594827902,0.8532852299818842
0.125,0.0015864304616332503,0.8544431299969963
0.125,0.0017002940689377181,0.8555389443569721
0.125,0.0018223300615953005,0.8579292100333177
0.125,0.0019531249999999712,0.8583783936577651
0.125,0.0020933075440161663,0.8584867064894341
0.125,0.00224355147460355,0.8600398530773111
0.125,0.0024045789323142524,0.8600472318214076
0.125,0.0025771638882282687,0.8616792350233856
0.125,0.0027621358640099072,0.8605969016109627
0.125,0.002960383918965573,0.8605072726004148
0.125,0.0031728609232664928,0.8600674819326496
0.125,0.003400588137875428,0.8617320991083653
0.125,0.003644660123190592,0.8642607471699363
0.125,0.0039062499999999328,0.864977732975532
0.125,0.004186615088032322,0.8650037152325641
0.125,0.0044871029492070886,0.8641477003827258
0.125,0.004809157864628493,0.8681055625842856
0.125,0.005154327776456524,0.8670492749161207
0.125,0.0055242717280198006,0.8667733065718025
0.125,0.005920767837931132,0.8664890908653554
0.125,0.00634572184653297,0.8636380851245906
0.125,0.00680117627575084,0.8631137825490997
0.125,0.0072893202463811665,0.8602391899785156
0.125,0.0078124999999998465,0.8567783093251027
0.125,0.008373230176064624,0.8543386862262793
0.125,0.008974205898414155,0.8490893665271141
0.125,0.009618315729256963,0.844065883487285
0.125,0.010308655552913023,0.832597804115967
0.125,0.011048543456039573,0.8210031871115158
0.125,0.011841535675862234,0.8128220003524482
0.125,0.012691443693065909,0.7978165093636835
0.125,0.013602352551501645,0.7839036984059489
0.125,0.014578640492762297,0.7570254879345447
0.125,0.015624999999999653,0.7251367365326439
0.125,0.016746460352129205,0.6876072757096222
0.125,0.017948411796828264,0.6155395555383341
0.125,0.019236631458513877,0.5441687225985544
0.125,0.020617311105825997,0.47846368409925344
0.125,0.022097086912079095,0.4234038159609023
0.125,0.02368307135172441,0.36077987510431375
0.125,0.025382887386131755,0.30350997902658305
0.125,0.027204705103003223,0.2490470038254082
0.125,0.02915728098552452,0.2260663823990126
0.125,0.03124999999999923,0.20067393330671174
0.125,0.03349292070425833,0.18335674237438782
0.125,0.035896823593656445,0.17499553066795234
0.125,0.038473262917027656,0.1655523581450079
0.125,0.04123462221165189,0.1520947376141467
0.125,0.04419417382415808,0.14330820231461483
0.125,0.0473661427034487,0.13928328833859824
0.125,0.050765774772263385,0.1327077618268112
0.125,0.054409410206006315,0.12923018584845547
0.125,0.058314561971048895,0.12229918316243236
0.125,0.06249999999999831,0.1127747407325881
0.125,0.06698584140851652,0.10860912152924455
0.125,0.07179364718731275,0.10043246525953194
0.125,0.0769465258340552,0.09211206703377414
0.125,0.08246924442330368,0.08300787585052526
0.125,0.08838834764831607,0.07576958459227291
0.125,0.09473228540689735,0.07301282457059598
0.125,0.10153154954452673,0.06957073067899944
0.125,0.10881882041201263,0.061760893127384184
0.125,0.11662912394209783,0.05391458256970499
0.13397168281703664,3.0517578125E-5,0.04439459788097904
0.13397168281703664,3.270793037525308E-5,0.3177190043409338
0.13397168281703664,3.505549179068098E-5,0.31765995262031604
0.13397168281703664,3.757154581741075E-5,0.3179685006561508
0.13397168281703664,4.026818575356729E-5,0.3179685006561508
0.13397168281703664,4.315837287515544E-5,0.31820430680818845
0.13397168281703664,4.625599873383776E-5,0.31783069671449277
0.13397168281703664,4.957595192603968E-5,0.3177387903941014
0.13397168281703664,5.313418965430435E-5,0.3177387903941014
0.13397168281703664,5.694781442485384E-5,0.31763228610997307
0.13397168281703664,6.103515624999985E-5,0.3187856579232302
0.13397168281703664,6.5415860750506E-5,0.3187856579232302
0.13397168281703664,7.011098358136179E-5,0.318924124956574
0.13397168281703664,7.514309163482131E-5,0.3201879208041919
0.13397168281703664,8.053637150713438E-5,0.3367751282299768
0.13397168281703664,8.631674575031066E-5,0.35753662828957067
0.13397168281703664,9.25119974676753E-5,0.3680472207812789
0.13397168281703664,9.915190385207912E-5,0.3865982195887263
0.13397168281703664,1.0626837930860843E-4,0.4293305815418345
0.13397168281703664,1.1389562884970741E-4,0.4783501390352465
0.13397168281703664,1.220703124999994E-4,0.5372173134275862
0.13397168281703664,1.3083172150101167E-4,0.5925151046133017
0.13397168281703664,1.4022196716272325E-4,0.6467418996841476
0.13397168281703664,1.5028618326964224E-4,0.6878604094770107
0.13397168281703664,1.6107274301426836E-4,0.7180530839483357
0.13397168281703664,1.7263349150062088E-4,0.7482945740345449
0.13397168281703664,1.8502399493535015E-4,0.7680413033100856
0.13397168281703664,1.9830380770415775E-4,0.7758339912274638
0.13397168281703664,2.1253675861721634E-4,0.7838064852671529
0.13397168281703664,2.2779125769941425E-4,0.794989369224922
0.13397168281703664,2.4414062499999818E-4,0.7965621749242656
0.13397168281703664,2.616634430020227E-4,0.8017189158606806
0.13397168281703664,2.804439343254458E-4,0.8045104509980336
0.13397168281703664,3.0057236653928377E-4,0.8088697111774771
0.13397168281703664,3.2214548602853597E-4,0.8123272216042686
0.13397168281703664,3.4526698300124095E-4,0.8151662492311025
0.13397168281703664,3.700479898706994E-4,0.8182692397006105
0.13397168281703664,3.966076154083145E-4,0.8180802654213566
0.13397168281703664,4.2507351723443165E-4,0.8215273367280997
0.13397168281703664,4.5558251539882735E-4,0.8235079276128635
0.13397168281703664,4.882812499999952E-4,0.8271358788067354
0.13397168281703664,5.233268860040441E-4,0.8305123491584063
0.13397168281703664,5.608878686508902E-4,0.8321623189978247
0.13397168281703664,6.01144733078566E-4,0.8326452033494688
0.13397168281703664,6.442909720570703E-4,0.8350944547840513
0.13397168281703664,6.905339660024802E-4,0.8398464224445211
0.13397168281703664,7.400959797413969E-4,0.840943205207201
0.13397168281703664,7.932152308166271E-4,0.8442960662511206
0.13397168281703664,8.501470344688611E-4,0.8456041290253712
0.13397168281703664,9.111650307976525E-4,0.8445643224803188
0.13397168281703664,9.76562499999988E-4,0.8448629553516975
0.13397168281703664,0.0010466537720080858,0.8459715848814541
0.13397168281703664,0.0011217757373017776,0.8476324387610571
0.13397168281703664,0.0012022894661571292,0.84989962671844
0.13397168281703664,0.0012885819441141374,0.8521941081214234
0.13397168281703664,0.0013810679320049569,0.8528034330860091
0.13397168281703664,0.0014801919594827902,0.8540256260810069
0.13397168281703664,0.0015864304616332503,0.8567110939143763
0.13397168281703664,0.0017002940689377181,0.8588586206158171
0.13397168281703664,0.0018223300615953005,0.8600244539095967
0.13397168281703664,0.0019531249999999712,0.8595076208677668
0.13397168281703664,0.0020933075440161663,0.860580859277496
0.13397168281703664,0.00224355147460355,0.860457962422941
0.13397168281703664,0.0024045789323142524,0.8622935815327616
0.13397168281703664,0.0025771638882282687,0.8632659160679835
0.13397168281703664,0.0027621358640099072,0.8637326239771022
0.13397168281703664,0.002960383918965573,0.8627138168205439
0.13397168281703664,0.0031728609232664928,0.8616894582238611
0.13397168281703664,0.003400588137875428,0.8628260370980739
0.13397168281703664,0.003644660123190592,0.8652611096985845
0.13397168281703664,0.0039062499999999328,0.8693083995590091
0.13397168281703664,0.004186615088032322,0.8678257592148629
0.13397168281703664,0.0044871029492070886,0.8693569906945785
0.13397168281703664,0.004809157864628493,0.8695834013785096
0.13397168281703664,0.005154327776456524,0.8697386079845545
0.13397168281703664,0.0055242717280198006,0.8678458607842976
0.13397168281703664,0.005920767837931132,0.8708999807251053
0.13397168281703664,0.00634572184653297,0.8668596137779541
0.13397168281703664,0.00680117627575084,0.8628220824432536
0.13397168281703664,0.0072893202463811665,0.8625440079760234
0.13397168281703664,0.0078124999999998465,0.8621932030161017
0.13397168281703664,0.008373230176064624,0.8559228083836325
0.13397168281703664,0.008974205898414155,0.8525061339238331
0.13397168281703664,0.009618315729256963,0.848233984022374
0.13397168281703664,0.010308655552913023,0.8405085405635685
0.13397168281703664,0.011048543456039573,0.8278583482633358
0.13397168281703664,0.011841535675862234,0.8193040321763456
0.13397168281703664,0.012691443693065909,0.8053133652263272
0.13397168281703664,0.013602352551501645,0.7904559449791981
0.13397168281703664,0.014578640492762297,0.7680585083676458
0.13397168281703664,0.015624999999999653,0.7365860812056861
0.13397168281703664,0.016746460352129205,0.7090352382939199
0.13397168281703664,0.017948411796828264,0.6522943101096185
0.13397168281703664,0.019236631458513877,0.5738703144114098
0.13397168281703664,0.020617311105825997,0.5017127553965568
0.13397168281703664,0.022097086912079095,0.44536866570402744
0.13397168281703664,0.02368307135172441,0.38507167823056115
0.13397168281703664,0.025382887386131755,0.32882982274773337
0.13397168281703664,0.027204705103003223,0.2625542471631906
0.13397168281703664,0.02915728098552452,0.23480369156214015
0.13397168281703664,0.03124999999999923,0.20662330483919902
