gamma,coef0,degree,weightedFMeasure
0.0,0.0,1,0.018259199480627215
0.1,0.0,1,0.018259199480627215
0.2,0.0,1,0.018259199480627215
0.30000000000000004,0.0,1,0.018259199480627215
0.4,0.0,1,0.018259199480627215
0.5,0.0,1,0.018259199480627215
0.6,0.0,1,0.018259199480627215
0.7,0.0,1,0.018259199480627215
0.7999999999999999,0.0,1,0.018259199480627215
0.8999999999999999,0.0,1,0.018259199480627215
0.7999999999999998,0.0,1,0.018259199480627215
0.7999999999999998,0.1,1,0.018259199480627215
0.7999999999999998,0.2,1,0.018259199480627215
0.7999999999999998,0.30000000000000004,1,0.018259199480627215
0.7999999999999998,0.4,1,0.018259199480627215
0.7999999999999998,0.5,1,0.018259199480627215
0.7999999999999998,0.6,1,0.018259199480627215
0.7999999999999998,0.7,1,0.018259199480627215
0.7999999999999998,0.7999999999999999,1,0.018259199480627215
0.7999999999999998,0.8999999999999999,1,0.018259199480627215
0.7999999999999998,0.7999999999999998,1,0.018259199480627215
0.7999999999999998,0.7999999999999998,2,0.904274193763697
0.7999999999999998,0.7999999999999998,3,0.9143461715929285
0.7999999999999998,0.7999999999999998,4,0.9165286520539263
0.7999999999999998,0.7999999999999998,5,0.9095861058079602
VALORES OPTIMOS:
gamma,coef0,degree
0.7999999999999998,0.7999999999999998,4
