Cost,weightedFMeasure
1.0,0.8911918791229438
2.0,0.9021873352633175
3.0,0.9070906483513144
4.0,0.9055047464952365
5.0,0.910014077241987
6.0,0.9094945083371024
7.0,0.9101004638472672
8.0,0.911635324783652
9.0,0.9099756173380957
10.0,0.9100046974931157
11.0,0.9105855796924858
12.0,0.9104520923262512
13.0,0.9093702735731456
14.0,0.9115246441029756
15.0,0.9087826698068172
16.0,0.9087715120632159
Cost,weightedFMeasure
7.1,0.8911918791229438
7.199999999999999,0.9095004693496923
7.299999999999999,0.9095004693496923
7.399999999999999,0.9094917215760535
7.499999999999998,0.9094917215760535
7.599999999999998,0.9105368563796157
7.6999999999999975,0.9105368563796157
7.799999999999997,0.9110830520669562
7.899999999999997,0.911635324783652
7.9999999999999964,0.911635324783652
8.099999999999996,0.911635324783652
8.199999999999996,0.9116771554992802
8.299999999999995,0.9116442405128456
8.399999999999995,0.9116442405128456
8.499999999999995,0.9116442405128456
8.599999999999994,0.9110795552503081
8.699999999999994,0.9105277592857322
8.799999999999994,0.9105277592857322
8.899999999999993,0.9099756173380957
