eps,weightedFMeasure
0.0,0.923310240191957
0.01,0.923310240191957
0.02,0.9227556294915649
0.03,0.9227860475041989
0.04,0.923340658204591
0.05,0.9221516549270911
0.060000000000000005,0.9233416363973982
0.07,0.9233409611298071
0.08,0.9232985567622841
0.09,0.9233569438165733
eps,weightedFMeasure
0.1,0.923310240191957
0.11,0.9222232495887094
0.12,0.9239017314070883
0.13,0.922214120680366
0.14,0.9233283930976944
0.15000000000000002,0.9210564520363922
0.16000000000000003,0.9215828227249103
0.17000000000000004,0.9232936665185403
0.18000000000000005,0.923821351311
0.19000000000000006,0.9237732970422167
eps,weightedFMeasure
0.041,0.923310240191957
0.042,0.9227742159313855
0.043000000000000003,0.9222196052309936
0.044000000000000004,0.9222196052309936
0.045000000000000005,0.9221906049889295
0.046000000000000006,0.9221906049889295
0.04700000000000001,0.9227452156893216
0.04800000000000001,0.9216398028261414
0.04900000000000001,0.9221516549270911
eps,weightedFMeasure
0.001,0.923310240191957
0.002,0.923310240191957
0.003,0.923310240191957
0.004,0.923310240191957
0.005,0.923310240191957
0.006,0.923310240191957
0.007,0.923310240191957
0.008,0.923310240191957
0.009000000000000001,0.923310240191957
