gamma,coef0,weightedFMeasure
0.0,0.0,0.8412863758326979
0.1,0.0,0.05768535521705612
0.2,0.0,0.04007419897387576
0.30000000000000004,0.0,0.043215022920752494
0.4,0.0,0.04387029773164108
0.5,0.0,0.05102586746544482
0.6,0.0,0.05151394820758403
0.7,0.0,0.04549069613761067
0.7999999999999999,0.0,0.04198798173783985
0.8999999999999999,0.0,0.04261872063021951
0.9999999999999999,0.0,0.0649665293071582
1.0999999999999999,0.0,0.04374750849515974
1.2,0.0,0.03602889209469634
1.3,0.0,0.033216396511037125
1.4000000000000001,0.0,0.045112945757844906
1.5000000000000002,0.0,0.0450913490758833
1.6000000000000003,0.0,0.04509127702599168
1.7000000000000004,0.0,0.04443958343995724
1.8000000000000005,0.0,0.03970246645075078
1.9000000000000006,0.0,0.03971299953319858
0.0,0.0,0.8412863758326979
0.0,0.1,0.8367905326624409
0.0,0.2,0.8324925898475534
0.0,0.30000000000000004,0.8305835934278688
0.0,0.4,0.8253675695873912
0.0,0.5,0.814693691505307
0.0,0.6,0.809881812757996
0.0,0.7,0.809063110993457
0.0,0.7999999999999999,0.8046775665463753
0.0,0.8999999999999999,0.7955803675375811
0.0,0.9999999999999999,0.7859791962503583
0.0,1.0999999999999999,0.7751109060363569
0.0,1.2,0.7684616179195692
0.0,1.3,0.7438963546132271
0.0,1.4000000000000001,0.7081940421034936
0.0,1.5000000000000002,0.6727103077798492
0.0,1.6000000000000003,0.6348241863673609
0.0,1.7000000000000004,0.5652670042505329
0.0,1.8000000000000005,0.4736506619481783
0.0,1.9000000000000006,0.40096610440836833
VALORES OPTIMOS:
gamma,coef0
0.0,0.0,
